,Age,Country,Book_Count,Average_Rating,Above_Average
42.0,17.0, USA,1,7.0,0
44.0,51.0, USA,1,8.0,0
51.0,34.0, USA,1,9.0,0
56.0,24.0, USA,2,8.0,0
64.0,32.0, France,1,7.0,0
67.0,43.0, USA,1,7.0,0
70.0,44.0, USA,1,10.0,0
75.0,37.0, USA,1,5.0,0
78.0,18.0, USA,1,8.0,0
85.0,41.0, united kingdom,1,5.0,0
92.0,20.0, Spain,3,8.333333333333334,0
99.0,42.0, USA,8,7.625,1
109.0,20.0, USA,1,5.0,0
114.0,57.0, USA,8,8.125,1
125.0,49.0, USA,1,10.0,0
129.0,47.0, USA,1,7.0,0
133.0,45.0, USA,1,10.0,0
165.0,62.0, USA,3,6.0,0
176.0,34.0, united kingdom,1,4.0,0
178.0,28.0, USA,1,6.0,0
183.0,27.0, Portugal,4,8.25,0
185.0,17.0, USA,1,10.0,0
190.0,33.0, Belgium,1,7.0,0
202.0,28.0, Canada,1,6.0,0
212.0,21.0, Philippines,1,8.0,0
215.0,20.0, Canada,1,6.0,0
228.0,41.0, USA,2,8.0,0
232.0,16.0, India,4,6.0,0
242.0,37.0, Germany,20,8.65,1
247.0,23.0, Greece,1,7.0,0
254.0,24.0, USA,57,7.771929824561403,1
272.0,20.0, USA,4,7.25,0
278.0,21.0, USA,1,6.0,0
289.0,15.0, USA,2,6.5,0
302.0,53.0, USA,1,4.0,0
310.0,26.0, Spain,1,7.0,0
323.0,23.0, USA,1,5.0,0
332.0,59.0, USA,1,6.0,0
334.0,27.0, Finland,1,8.0,0
337.0,17.0, Spain,1,9.0,0
339.0,20.0, Finland,1,8.0,0
345.0,27.0, USA,1,6.0,0
361.0,25.0, Spain,2,6.0,0
362.0,63.0, Canada,1,7.0,0
367.0,45.0, USA,1,9.0,0
376.0,35.0, USA,2,6.0,0
387.0,17.0, USA,5,7.2,0
388.0,35.0, USA,17,7.294117647058823,1
392.0,44.0, Spain,12,6.916666666666667,1
393.0,24.0, united kingdom,2,6.0,0
408.0,17.0, USA,5,7.6,0
413.0,17.0, USA,2,7.5,0
424.0,29.0, USA,6,6.5,0
431.0,40.0, USA,1,4.0,0
433.0,48.0, USA,2,6.0,0
440.0,16.0, USA,3,8.333333333333334,0
444.0,40.0, USA,4,7.25,0
463.0,20.0, Australia,1,8.0,0
475.0,34.0, Canada,1,10.0,0
486.0,31.0, USA,3,7.666666666666667,0
493.0,29.0, USA,1,8.0,0
496.0,51.0, USA,2,8.0,0
499.0,62.0, USA,1,10.0,0
500.0,17.0, USA,2,9.0,0
503.0,40.0, USA,15,9.4,1
505.0,51.0, USA,11,7.909090909090909,1
508.0,29.0, USA,2,6.5,0
512.0,58.0, USA,1,5.0,0
523.0,19.0, USA,1,8.0,0
530.0,47.0, USA,1,10.0,0
538.0,26.0, USA,1,8.0,0
565.0,48.0, USA,1,8.0,0
595.0,17.0, USA,6,8.666666666666666,0
596.0,49.0, USA,2,9.0,0
620.0,45.0, Canada,2,6.5,0
625.0,41.0, France,7,9.428571428571429,1
626.0,41.0, Austria,2,8.5,0
638.0,20.0, USA,54,9.277777777777779,1
643.0,23.0, France,41,7.585365853658536,1
651.0,26.0, USA,28,6.714285714285714,1
677.0,27.0, USA,1,8.0,0
683.0,28.0, USA,1,8.0,0
685.0,21.0, USA,2,8.5,0
709.0,14.0, USA,21,7.285714285714286,1
712.0,29.0, Switzerland,3,5.666666666666667,0
726.0,31.0, USA,4,8.75,0
735.0,29.0, USA,11,8.0,1
739.0,55.0, USA,1,9.0,0
741.0,16.0, USA,15,8.666666666666666,1
744.0,48.0, USA,3,7.666666666666667,0
746.0,36.0, USA,4,7.25,0
757.0,29.0, USA,1,8.0,0
771.0,38.0, USA,1,10.0,0
774.0,16.0, USA,1,8.0,0
776.0,23.0, new Zealand,5,8.4,0
782.0,57.0, USA,1,10.0,0
786.0,48.0, USA,2,4.5,0
805.0,34.0, USA,22,8.409090909090908,1
811.0,34.0, Switzerland,1,8.0,0
824.0,15.0, USA,1,5.0,0
828.0,35.0, USA,1,10.0,0
834.0,17.0, USA,8,4.125,1
843.0,25.0, USA,4,8.0,0
850.0,22.0, Germany,14,7.142857142857143,1
853.0,24.0, USA,5,7.8,0
882.0,23.0, USA,39,8.615384615384615,1
883.0,43.0, USA,1,7.0,0
887.0,30.0, USA,1,8.0,0
895.0,40.0, Australia,1,7.0,0
896.0,27.0, united kingdom,1,7.0,0
899.0,23.0, Germany,5,6.0,0
900.0,25.0, USA,12,5.5,1
901.0,21.0, united kingdom,9,8.777777777777779,1
902.0,18.0, USA,1,8.0,0
903.0,19.0, USA,1,9.0,0
913.0,44.0, united kingdom,1,8.0,0
914.0,51.0, Germany,4,9.25,0
915.0,50.0, USA,1,10.0,0
924.0,29.0, France,1,8.0,0
938.0,55.0, Canada,1,9.0,0
965.0,24.0, USA,1,9.0,0
969.0,13.0, USA,1,8.0,0
999.0,21.0, USA,1,7.0,0
1009.0,56.0, USA,3,9.0,0
1010.0,26.0, USA,1,5.0,0
1025.0,33.0, united kingdom,28,7.964285714285714,1
1031.0,52.0, USA,2,7.0,0
1038.0,26.0, USA,1,5.0,0
1048.0,22.0, Canada,3,8.0,0
1054.0,37.0, USA,2,8.5,0
1057.0,19.0, united kingdom,2,8.0,0
1060.0,38.0, USA,1,8.0,0
1063.0,19.0, Canada,7,7.0,1
1075.0,49.0, USA,10,7.7,1
1082.0,36.0, USA,1,10.0,0
1087.0,46.0, USA,1,9.0,0
1094.0,18.0, USA,1,8.0,0
1096.0,18.0, USA,1,7.0,0
1113.0,22.0, USA,4,7.0,0
1116.0,29.0, Canada,7,5.428571428571429,1
1123.0,23.0, Canada,2,7.5,0
1129.0,53.0, USA,10,6.2,1
1133.0,46.0, Australia,1,8.0,0
1137.0,25.0, Spain,1,7.0,0
1140.0,19.0, USA,1,10.0,0
1150.0,25.0, USA,1,10.0,0
1155.0,22.0, USA,13,7.615384615384615,1
1164.0,35.0, USA,1,10.0,0
1166.0,22.0, France,1,9.0,0
1167.0,25.0, USA,8,7.0,1
1169.0,27.0, USA,1,6.0,0
1172.0,26.0, Germany,1,10.0,0
1174.0,32.0, Spain,1,4.0,0
1180.0,23.0, USA,1,10.0,0
1184.0,38.0, USA,4,6.0,0
1192.0,27.0, Malaysia,2,6.0,0
1211.0,22.0, France,44,8.0,1
1214.0,30.0, Germany,2,8.0,0
1219.0,17.0, Malaysia,2,6.5,0
1234.0,25.0, Spain,1,9.0,0
1242.0,25.0, Canada,1,7.0,0
1250.0,44.0, USA,1,8.0,0
1254.0,26.0, USA,3,9.0,0
1258.0,18.0, USA,1,4.0,0
1259.0,29.0, Canada,1,7.0,0
1261.0,46.0, USA,5,7.2,0
1262.0,39.0, USA,2,10.0,0
1263.0,23.0, Germany,1,9.0,0
1266.0,19.0, USA,1,10.0,0
1281.0,32.0, united kingdom,1,7.0,0
1297.0,30.0, USA,4,8.0,0
1309.0,28.0, USA,3,9.0,0
1314.0,48.0, Italy,1,1.0,0
1331.0,32.0, Portugal,3,7.666666666666667,0
1343.0,33.0, united kingdom,1,10.0,0
1348.0,43.0, USA,2,7.5,0
1355.0,71.0, USA,1,9.0,0
1359.0,14.0, USA,1,7.0,0
1360.0,36.0, USA,1,7.0,0
1368.0,22.0, USA,4,6.5,0
1372.0,34.0, Germany,2,9.5,0
1375.0,59.0, USA,1,5.0,0
1377.0,20.0, USA,1,8.0,0
1389.0,22.0, USA,1,9.0,0
1396.0,35.0, USA,1,10.0,0
1399.0,41.0, USA,3,9.333333333333334,0
1403.0,26.0, USA,1,8.0,0
1409.0,74.0, USA,6,7.333333333333333,0
1410.0,22.0, USA,1,9.0,0
1412.0,47.0, USA,8,8.125,1
1427.0,22.0, USA,1,10.0,0
1433.0,54.0, USA,1,3.0,0
1435.0,36.0, USA,46,7.043478260869565,1
1448.0,61.0, USA,1,6.0,0
1466.0,28.0, Germany,2,6.0,0
1484.0,28.0, united kingdom,1,5.0,0
1485.0,30.0, USA,5,8.2,0
1486.0,75.0, Australia,1,5.0,0
1489.0,20.0, USA,1,8.0,0
1491.0,22.0, united kingdom,1,7.0,0
1511.0,25.0, USA,2,8.0,0
1513.0,40.0, USA,1,8.0,0
1515.0,27.0, USA,1,9.0,0
1517.0,32.0, Spain,2,5.0,0
1519.0,61.0, USA,1,8.0,0
1530.0,26.0, USA,1,8.0,0
1535.0,69.0, USA,2,8.5,0
1548.0,28.0, USA,15,7.066666666666666,1
1554.0,29.0, USA,2,9.5,0
1558.0,61.0, USA,6,9.333333333333334,0
1570.0,28.0, USA,1,10.0,0
1582.0,48.0, USA,1,10.0,0
1583.0,48.0, USA,1,5.0,0
1585.0,29.0, USA,16,5.875,1
1586.0,14.0, united kingdom,1,7.0,0
1591.0,24.0, Germany,1,10.0,0
1596.0,51.0, USA,3,5.666666666666667,0
1597.0,23.0, USA,4,5.75,0
1608.0,27.0, USA,5,7.8,0
1615.0,30.0, Austria,1,10.0,0
1617.0,24.0, USA,2,7.5,0
1633.0,29.0, USA,1,7.0,0
1641.0,22.0, USA,1,7.0,0
1653.0,17.0, Spain,1,7.0,0
1674.0,26.0, USA,24,7.958333333333333,1
1683.0,46.0, USA,1,7.0,0
1688.0,53.0, united kingdom,5,6.2,0
1696.0,34.0, Spain,3,8.0,0
1706.0,26.0, USA,7,7.285714285714286,1
1718.0,28.0, USA,1,8.0,0
1721.0,21.0, Canada,1,9.0,0
1723.0,40.0, USA,1,5.0,0
1725.0,25.0, united kingdom,4,9.0,0
1730.0,33.0, USA,1,8.0,0
1733.0,30.0, USA,91,7.318681318681318,1
1759.0,29.0, USA,1,8.0,0
1768.0,25.0, USA,1,10.0,0
1773.0,16.0, USA,1,9.0,0
