,Age,Country,Book_Count,Average_Rating,Above_Average
42,17,119,1,7.0,0
44,51,119,1,8.0,0
51,34,119,1,9.0,0
56,24,119,2,8.0,0
64,32,44,1,7.0,0
67,43,119,1,7.0,0
70,44,119,1,10.0,0
75,37,119,1,5.0,0
78,18,119,1,8.0,0
85,41,144,1,5.0,0
92,20,107,3,8.33,0
99,42,119,8,7.62,1
109,20,119,1,5.0,0
114,57,119,8,8.12,1
125,49,119,1,10.0,0
129,47,119,1,7.0,0
133,45,119,1,10.0,0
165,62,119,3,6.0,0
176,34,144,1,4.0,0
178,28,119,1,6.0,0
183,27,98,4,8.25,0
185,17,119,1,10.0,0
190,33,14,1,7.0,0
202,28,20,1,6.0,0
212,21,95,1,8.0,0
215,20,20,1,6.0,0
228,41,119,2,8.0,0
232,16,57,4,6.0,0
242,37,47,20,8.65,1
247,23,49,1,7.0,0
254,24,119,57,7.77,1
272,20,119,4,7.25,0
278,21,119,1,6.0,0
289,15,119,2,6.5,0
302,53,119,1,4.0,0
310,26,107,1,7.0,0
323,23,119,1,5.0,0
332,59,119,1,6.0,0
334,27,43,1,8.0,0
337,17,107,1,9.0,0
339,20,43,1,8.0,0
345,27,119,1,6.0,0
361,25,107,2,6.0,0
362,63,20,1,7.0,0
367,45,119,1,9.0,0
376,35,119,2,6.0,0
387,17,119,5,7.2,0
388,35,119,17,7.29,1
392,44,107,12,6.92,1
393,24,144,2,6.0,0
408,17,119,5,7.6,0
413,17,119,2,7.5,0
424,29,119,6,6.5,0
431,40,119,1,4.0,0
433,48,119,2,6.0,0
440,16,119,3,8.33,0
444,40,119,4,7.25,0
463,20,7,1,8.0,0
475,34,20,1,10.0,0
486,31,119,3,7.67,0
493,29,119,1,8.0,0
496,51,119,2,8.0,0
499,62,119,1,10.0,0
500,17,119,2,9.0,0
503,40,119,15,9.4,1
505,51,119,11,7.91,1
508,29,119,2,6.5,0
512,58,119,1,5.0,0
523,19,119,1,8.0,0
530,47,119,1,10.0,0
538,26,119,1,8.0,0
565,48,119,1,8.0,0
595,17,119,6,8.67,0
596,49,119,2,9.0,0
620,45,20,2,6.5,0
625,41,44,7,9.43,1
626,41,9,2,8.5,0
638,20,119,54,9.28,1
643,23,44,41,7.59,1
651,26,119,28,6.71,1
677,27,119,1,8.0,0
683,28,119,1,8.0,0
685,21,119,2,8.5,0
709,14,119,21,7.29,1
712,29,110,3,5.67,0
726,31,119,4,8.75,0
735,29,119,11,8.0,1
739,55,119,1,9.0,0
741,16,119,15,8.67,1
744,48,119,3,7.67,0
746,36,119,4,7.25,0
757,29,119,1,8.0,0
771,38,119,1,10.0,0
774,16,119,1,8.0,0
776,23,137,5,8.4,0
782,57,119,1,10.0,0
786,48,119,2,4.5,0
805,34,119,22,8.41,1
811,34,110,1,8.0,0
824,15,119,1,5.0,0
828,35,119,1,10.0,0
834,17,119,8,4.12,1
843,25,119,4,8.0,0
850,22,47,14,7.14,1
853,24,119,5,7.8,0
882,23,119,39,8.62,1
883,43,119,1,7.0,0
887,30,119,1,8.0,0
895,40,7,1,7.0,0
896,27,144,1,7.0,0
899,23,47,5,6.0,0
900,25,119,12,5.5,1
901,21,144,9,8.78,1
902,18,119,1,8.0,0
903,19,119,1,9.0,0
913,44,144,1,8.0,0
914,51,47,4,9.25,0
915,50,119,1,10.0,0
924,29,44,1,8.0,0
938,55,20,1,9.0,0
965,24,119,1,9.0,0
969,13,119,1,8.0,0
999,21,119,1,7.0,0
1009,56,119,3,9.0,0
1010,26,119,1,5.0,0
1025,33,144,28,7.96,1
1031,52,119,2,7.0,0
1038,26,119,1,5.0,0
1048,22,20,3,8.0,0
1054,37,119,2,8.5,0
1057,19,144,2,8.0,0
1060,38,119,1,8.0,0
1063,19,20,7,7.0,1
1075,49,119,10,7.7,1
1082,36,119,1,10.0,0
1087,46,119,1,9.0,0
1094,18,119,1,8.0,0
1096,18,119,1,7.0,0
1113,22,119,4,7.0,0
1116,29,20,7,5.43,1
1123,23,20,2,7.5,0
1129,53,119,10,6.2,1
1133,46,7,1,8.0,0
1137,25,107,1,7.0,0
1140,19,119,1,10.0,0
1150,25,119,1,10.0,0
1155,22,119,13,7.62,1
1164,35,119,1,10.0,0
1166,22,44,1,9.0,0
1167,25,119,8,7.0,1
1169,27,119,1,6.0,0
1172,26,47,1,10.0,0
1174,32,107,1,4.0,0
1180,23,119,1,10.0,0
1184,38,119,4,6.0,0
1192,27,74,2,6.0,0
1211,22,44,44,8.0,1
1214,30,47,2,8.0,0
1219,17,74,2,6.5,0
1234,25,107,1,9.0,0
1242,25,20,1,7.0,0
1250,44,119,1,8.0,0
1254,26,119,3,9.0,0
1258,18,119,1,4.0,0
1259,29,20,1,7.0,0
1261,46,119,5,7.2,0
1262,39,119,2,10.0,0
1263,23,47,1,9.0,0
1266,19,119,1,10.0,0
1281,32,144,1,7.0,0
1297,30,119,4,8.0,0
1309,28,119,3,9.0,0
1314,48,63,1,1.0,0
1331,32,98,3,7.67,0
1343,33,144,1,10.0,0
1348,43,119,2,7.5,0
1355,71,119,1,9.0,0
1359,14,119,1,7.0,0
1360,36,119,1,7.0,0
1368,22,119,4,6.5,0
1372,34,47,2,9.5,0
1375,59,119,1,5.0,0
1377,20,119,1,8.0,0
1389,22,119,1,9.0,0
1396,35,119,1,10.0,0
1399,41,119,3,9.33,0
1403,26,119,1,8.0,0
1409,74,119,6,7.33,0
1410,22,119,1,9.0,0
1412,47,119,8,8.12,1
1427,22,119,1,10.0,0
1433,54,119,1,3.0,0
1435,36,119,46,7.04,1
1448,61,119,1,6.0,0
1466,28,47,2,6.0,0
1484,28,144,1,5.0,0
1485,30,119,5,8.2,0
1486,75,7,1,5.0,0
1489,20,119,1,8.0,0
1491,22,144,1,7.0,0
1511,25,119,2,8.0,0
1513,40,119,1,8.0,0
1515,27,119,1,9.0,0
1517,32,107,2,5.0,0
1519,61,119,1,8.0,0
1530,26,119,1,8.0,0
1535,69,119,2,8.5,0
1548,28,119,15,7.07,1
1554,29,119,2,9.5,0
1558,61,119,6,9.33,0
1570,28,119,1,10.0,0
1582,48,119,1,10.0,0
1583,48,119,1,5.0,0
1585,29,119,16,5.88,1
1586,14,144,1,7.0,0
1591,24,47,1,10.0,0
1596,51,119,3,5.67,0
1597,23,119,4,5.75,0
1608,27,119,5,7.8,0
1615,30,9,1,10.0,0
1617,24,119,2,7.5,0
1633,29,119,1,7.0,0
1641,22,119,1,7.0,0
1653,17,107,1,7.0,0
1674,26,119,24,7.96,1
1683,46,119,1,7.0,0
1688,53,144,5,6.2,0
1696,34,107,3,8.0,0
1706,26,119,7,7.29,1
1718,28,119,1,8.0,0
1721,21,20,1,9.0,0
1723,40,119,1,5.0,0
1725,25,144,4,9.0,0
1730,33,119,1,8.0,0
1733,30,119,91,7.32,1
1759,29,119,1,8.0,0
1768,25,119,1,10.0,0
1773,16,119,1,9.0,0
1775,14,119,1,8.0,0
1790,25,119,5,6.6,0
1802,43,119,1,7.0,0
1803,48,119,1,9.0,0
1812,24,119,5,7.6,0
1830,54,40,2,6.5,0
1844,36,47,1,8.0,0
1846,25,44,1,10.0,0
1848,22,119,31,8.81,1
1863,43,47,2,7.5,0
1869,21,119,2,9.0,0
1881,31,119,2,6.5,0
1892,47,119,1,9.0,0
1898,47,119,4,8.25,0
1900,51,119,1,7.0,0
1903,36,111,53,8.34,1
1918,23,144,1,8.0,0
1928,17,119,5,7.4,0
1937,42,119,1,7.0,0
1945,54,119,1,10.0,0
1951,28,47,1,7.0,0
1961,17,119,1,8.0,0
1971,25,119,1,7.0,0
1989,27,119,1,9.0,0
1990,32,17,3,7.0,0
1995,59,107,1,5.0,0
1996,34,7,2,7.5,0
2009,31,47,6,8.0,0
2018,21,20,1,5.0,0
2019,29,98,2,5.0,0
2024,34,119,25,7.6,1
2030,31,119,47,9.85,1
2033,27,119,129,8.72,1
2035,15,119,1,8.0,0
2036,49,119,2,8.5,0
2046,22,119,2,8.0,0
2060,54,119,1,9.0,0
2066,31,9,1,4.0,0
2070,22,119,1,9.0,0
2074,35,107,1,8.0,0
2077,25,119,1,5.0,0
2082,14,119,1,8.0,0
2084,21,107,11,7.27,1
2090,28,119,5,6.8,0
2103,43,119,14,9.0,1
2106,44,119,4,6.25,0
2115,55,119,1,7.0,0
2134,35,119,8,8.38,1
2136,45,119,3,8.0,0
2139,33,119,6,8.83,0
2147,35,119,1,8.0,0
2155,18,107,1,6.0,0
2170,29,47,1,7.0,0
2172,17,95,1,5.0,0
2179,30,119,23,8.96,1
2181,15,20,1,8.0,0
2189,24,20,6,6.83,0
