,name,author,stars,ratings,goodreads_score,goodreads_link,get_copy,page_count,published_date,amazon_link
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,7825430,3421393,https://www.goodreads.com/book/show/2767052-the-hunger-games,https://www.goodreads.com/book/2767052-the-hunger-games/get_a_copy,374.0,"September 14, 2008",https://www.goodreads.com/book_link/follow/1?book_id=2767052&source=compareprices
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,3096285,2928942,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,https://www.goodreads.com/book/2.Harry_Potter_and_the_Order_of_the_Phoenix/get_a_copy,912.0,"June 21, 2003",https://www.goodreads.com/book_link/follow/1?book_id=2&source=compareprices
3,Pride and Prejudice,Jane Austen,4.28,3867634,2436223,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,https://www.goodreads.com/book/1885.Pride_and_Prejudice/get_a_copy,279.0,"January 28, 1813",https://www.goodreads.com/book_link/follow/1?book_id=1885&source=compareprices
4,To Kill a Mockingbird,Harper Lee,4.27,5599984,2288163,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,https://www.goodreads.com/book/2657.To_Kill_a_Mockingbird/get_a_copy,336.0,"January 1, 1960",https://www.goodreads.com/book_link/follow/1?book_id=2657&source=compareprices
5,The Book Thief,Markus Zusak,4.39,2321515,1649310,https://www.goodreads.com/book/show/19063.The_Book_Thief,https://www.goodreads.com/book/19063.The_Book_Thief/get_a_copy,552.0,"March 1, 2006",https://www.goodreads.com/book_link/follow/1?book_id=19063&source=compareprices
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,6072820,1591243,https://www.goodreads.com/book/show/41865.Twilight,https://www.goodreads.com/book/41865.Twilight/get_a_copy,498.0,"October 5, 2005",
7,Animal Farm,George Orwell,3.98,3502504,1454612,https://www.goodreads.com/book/show/170448.Animal_Farm,https://www.goodreads.com/book/170448.Animal_Farm/get_a_copy,141.0,"August 17, 1945",https://www.goodreads.com/book_link/follow/1?book_id=170448&source=compareprices
8,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C. S. Lewis,4.27,609313,1361719,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,https://www.goodreads.com/book/11127.The_Chronicles_of_Narnia/get_a_copy,767.0,"January 1, 1956",https://www.goodreads.com/book_link/follow/1?book_id=11127&source=compareprices
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,126203,1354869,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,https://www.goodreads.com/book/30.J_R_R_Tolkien_4_Book_Boxed_Set/get_a_copy,1728.0,"October 20, 1955",https://www.goodreads.com/book_link/follow/1?book_id=30&source=compareprices
10,The Fault in Our Stars,John Green,4.15,4677124,1242562,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,https://www.goodreads.com/book/11870085-the-fault-in-our-stars/get_a_copy,313.0,"January 10, 2012",https://www.goodreads.com/book_link/follow/1?book_id=11870085&source=compareprices
11,Gone with the Wind,Margaret Mitchell,4.3,1171750,1134126,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://www.goodreads.com/book/18405.Gone_with_the_Wind/get_a_copy,1037.0,"June 30, 1936",https://www.goodreads.com/book_link/follow/1?book_id=18405&source=compareprices
12,The Giving Tree,Shel Silverstein,4.38,1056232,1109421,https://www.goodreads.com/book/show/370493.The_Giving_Tree,https://www.goodreads.com/book/370493.The_Giving_Tree/get_a_copy,64.0,"January 1, 1964",https://www.goodreads.com/book_link/follow/1?book_id=370493&source=compareprices
13,Wuthering Heights,Emily Brontë,3.88,1656039,1096490,https://www.goodreads.com/book/show/6185.Wuthering_Heights,https://www.goodreads.com/book/6185.Wuthering_Heights/get_a_copy,464.0,"December 1, 1847",https://www.goodreads.com/book_link/follow/1?book_id=6185&source=compareprices
14,The Picture of Dorian Gray,Oscar Wilde,4.12,1329260,1083232,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,https://www.goodreads.com/book/5297.The_Picture_of_Dorian_Gray/get_a_copy,272.0,"June 1, 1890",https://www.goodreads.com/book_link/follow/1?book_id=5297&source=compareprices
15,Jane Eyre,Charlotte Brontë,4.14,1946351,968662,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://www.goodreads.com/book/10210.Jane_Eyre/get_a_copy,532.0,"October 16, 1847",https://www.goodreads.com/book_link/follow/1?book_id=10210&source=compareprices
16,The Perks of Being a Wallflower,Stephen Chbosky,4.22,1626202,960256,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,https://www.goodreads.com/book/22628.The_Perks_of_Being_a_Wallflower/get_a_copy,213.0,"February 1, 1999",https://www.goodreads.com/book_link/follow/1?book_id=22628&source=compareprices
17,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.9,2224977,946280,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,https://www.goodreads.com/book/968.The_Da_Vinci_Code/get_a_copy,489.0,"March 18, 2003",https://www.goodreads.com/book_link/follow/1?book_id=968&source=compareprices
18,The Great Gatsby,F. Scott Fitzgerald,3.93,4752354,918002,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,https://www.goodreads.com/book/4671.The_Great_Gatsby/get_a_copy,180.0,"April 10, 1925",https://www.goodreads.com/book_link/follow/1?book_id=4671&source=compareprices
19,Memoirs of a Geisha,Arthur Golden,4.14,1913453,911606,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,https://www.goodreads.com/book/929.Memoirs_of_a_Geisha/get_a_copy,503.0,"January 1, 1997",https://www.goodreads.com/book_link/follow/1?book_id=929&source=compareprices
20,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,529767,911122,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,https://www.goodreads.com/book/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass/get_a_copy,239.0,"December 27, 1871",https://www.goodreads.com/book_link/follow/1?book_id=24213&source=compareprices
21,The Little Prince,Antoine de Saint-Exupéry,4.32,1878597,889184,https://www.goodreads.com/book/show/157993.The_Little_Prince,https://www.goodreads.com/book/157993.The_Little_Prince/get_a_copy,96.0,"April 6, 1943",https://www.goodreads.com/book_link/follow/1?book_id=157993&source=compareprices
22,"Divergent (Divergent, #1)",Veronica Roth,4.15,3649006,886800,https://www.goodreads.com/book/show/13335037-divergent,https://www.goodreads.com/book/13335037-divergent/get_a_copy,487.0,"April 25, 2011",https://www.goodreads.com/book_link/follow/1?book_id=13335037&source=compareprices
23,Les Misérables,Victor Hugo,4.19,760459,885379,https://www.goodreads.com/book/show/24280.Les_Mis_rables,https://www.goodreads.com/book/24280.Les_Mis_rables/get_a_copy,1463.0,"January 1, 1862",https://www.goodreads.com/book_link/follow/1?book_id=24280&source=compareprices
24,Crime and Punishment,Fyodor Dostoevsky,4.25,801160,870336,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,https://www.goodreads.com/book/7144.Crime_and_Punishment/get_a_copy,671.0,"January 1, 1866",https://www.goodreads.com/book_link/follow/1?book_id=7144&source=compareprices
25,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.29,2639660,862263,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,https://www.goodreads.com/book/28187.The_Lightning_Thief/get_a_copy,377.0,"July 28, 2005",https://www.goodreads.com/book_link/follow/1?book_id=28187&source=compareprices
26,Lord of the Flies,William Golding,3.69,2698860,845959,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,https://www.goodreads.com/book/7624.Lord_of_the_Flies/get_a_copy,182.0,"September 17, 1954",https://www.goodreads.com/book_link/follow/1?book_id=7624&source=compareprices
27,Romeo and Juliet,William Shakespeare,3.74,2435792,832764,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,https://www.goodreads.com/book/18135.Romeo_and_Juliet/get_a_copy,281.0,"January 1, 1597",https://www.goodreads.com/book_link/follow/1?book_id=18135&source=compareprices
28,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.3,902900,805118,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,https://www.goodreads.com/book/8127.Anne_of_Green_Gables/get_a_copy,320.0,"January 1, 1908",https://www.goodreads.com/book_link/follow/1?book_id=8127&source=compareprices
29,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,1894430,796933,https://www.goodreads.com/book/show/256683.City_of_Bones,https://www.goodreads.com/book/256683.City_of_Bones/get_a_copy,485.0,"May 27, 2007",https://www.goodreads.com/book_link/follow/1?book_id=256683&source=compareprices
30,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1716891,778681,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,https://www.goodreads.com/book/386162.The_Hitchhiker_s_Guide_to_the_Galaxy/get_a_copy,193.0,"October 12, 1979",https://www.goodreads.com/book_link/follow/1?book_id=386162&source=compareprices
31,The Help,Kathryn Stockett,4.47,2567028,773354,https://www.goodreads.com/book/show/4667024-the-help,https://www.goodreads.com/book/4667024-the-help/get_a_copy,464.0,"February 10, 2009",https://www.goodreads.com/book_link/follow/1?book_id=4667024&source=compareprices
32,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1294615,758209,https://www.goodreads.com/book/show/375802.Ender_s_Game,https://www.goodreads.com/book/375802.Ender_s_Game/get_a_copy,324.0,"January 15, 1985",https://www.goodreads.com/book_link/follow/1?book_id=375802&source=compareprices
33,Charlotte's Web,E.B. White,4.19,1702892,741777,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,https://www.goodreads.com/book/24178.Charlotte_s_Web/get_a_copy,184.0,"October 15, 1952",https://www.goodreads.com/book_link/follow/1?book_id=24178&source=compareprices
34,Dracula,Bram Stoker,4.01,1154715,735257,https://www.goodreads.com/book/show/17245.Dracula,https://www.goodreads.com/book/17245.Dracula/get_a_copy,488.0,"May 26, 1897",https://www.goodreads.com/book_link/follow/1?book_id=17245&source=compareprices
35,Of Mice and Men,John Steinbeck,3.88,2357298,730439,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,https://www.goodreads.com/book/890.Of_Mice_and_Men/get_a_copy,103.0,"February 25, 1937",https://www.goodreads.com/book_link/follow/1?book_id=890&source=compareprices
36,The Alchemist,Paulo Coelho,3.9,2732918,706185,https://www.goodreads.com/book/show/18144590-the-alchemist,https://www.goodreads.com/book/18144590-the-alchemist/get_a_copy,175.0,"January 1, 1988",https://www.goodreads.com/book_link/follow/1?book_id=18144590&source=compareprices
37,Brave New World,Aldous Huxley,3.99,1716101,689698,https://www.goodreads.com/book/show/5129.Brave_New_World,https://www.goodreads.com/book/5129.Brave_New_World/get_a_copy,268.0,"January 1, 1932",https://www.goodreads.com/book_link/follow/1?book_id=5129&source=compareprices
38,The Catcher in the Rye,J.D. Salinger,3.81,3269903,689505,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,https://www.goodreads.com/book/5107.The_Catcher_in_the_Rye/get_a_copy,277.0,"January 1, 1951",https://www.goodreads.com/book_link/follow/1?book_id=5107&source=compareprices
39,The Time Traveler's Wife,Audrey Niffenegger,3.99,1724405,683283,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,https://www.goodreads.com/book/18619684-the-time-traveler-s-wife/get_a_copy,537.0,"January 1, 2003",https://www.goodreads.com/book_link/follow/1?book_id=18619684&source=compareprices
